Year,2010.00,2011.00,2012.00,2013.00,2014.00,2015.00
Petrol,37934.00,31002.00,23888.00,25849.00,32098.00,41759.00
Diesel,81787.00,94918.00,88668.00,94176.00,111462.00,123951.00
Total,119721.00,125920.00,112556.00,120025.00,143560.00,165710.00
